district,page,price_clean,bedrooms_clean,bathrooms_clean,garage_clean,land_area_clean,building_area_clean
Cilodong,149,405000000.0,2.0,1.0,1.0,60.0,42.0
Cimanggis,149,1100000000.0,4.0,2.0,,75.0,79.0
Sawangan,149,1300000000.0,2.0,1.0,,60.0,60.0
Sawangan,149,1300000000.0,2.0,1.0,,60.0,60.0
Sawangan,150,3300000000.0,4.0,4.0,3.0,675.0,330.0
Cimanggis,150,1100000000.0,2.0,1.0,,100.0,80.0
Sawangan,150,542000000.0,2.0,1.0,1.0,70.0,42.0
Cilodong,150,585000000.0,3.0,1.0,1.0,72.0,70.0
Depok II,150,2500000000.0,4.0,2.0,1.0,180.0,150.0
Cinere,150,1570000000.0,3.0,2.0,2.0,120.0,107.0
Kelapa Dua,150,890000000.0,3.0,2.0,1.0,60.0,72.0
Sukmajaya,150,2500000000.0,4.0,3.0,1.0,153.0,200.0
Sawangan,150,385000000.0,3.0,1.0,1.0,76.0,45.0
Depok I,150,670000000.0,2.0,2.0,1.0,60.0,45.0
Depok I,150,450000000.0,2.0,2.0,1.0,35.0,70.0
Sawangan,150,375000000.0,2.0,1.0,1.0,60.0,40.0
Rangkapanjaya,150,350000000.0,3.0,2.0,1.0,50.0,60.0
Sawangan,150,385000000.0,3.0,1.0,,76.0,40.0
Cimanggis,150,2200000000.0,,,,96.0,100.0
Pancoran Mas,150,425000000.0,3.0,1.0,1.0,36.0,65.0
Cilodong,150,1000000000.0,3.0,3.0,1.0,79.0,172.0
Citayam,150,185000000.0,2.0,1.0,1.0,42.0,33.0
Cimanggis,150,1200000000.0,3.0,3.0,,70.0,90.0
Sukmajaya,151,1500000000.0,4.0,3.0,1.0,140.0,208.0
Citayam,151,185000000.0,2.0,1.0,1.0,42.0,33.0
Cinere,151,2300000000.0,4.0,3.0,2.0,240.0,200.0
Citayam,151,636000000.0,2.0,2.0,1.0,50.0,56.0
Limo,151,940000000.0,2.0,1.0,,82.0,50.0
Citayam,151,780000000.0,3.0,2.0,,60.0,80.0
Harjamukti,151,1400000000.0,4.0,3.0,2.0,103.0,65.0
Sawangan,151,830000000.0,3.0,2.0,1.0,400.0,120.0
Sawangan,151,1000000000.0,2.0,1.0,,94.0,35.0
Limo,151,710000000.0,2.0,1.0,,75.0,50.0
Margonda,151,1200000000.0,3.0,3.0,2.0,70.0,90.0
Tapos,151,1650000000.0,3.0,3.0,1.0,128.0,117.0
Sawangan,151,730000000.0,3.0,2.0,1.0,63.0,72.0
Pancoran Mas,151,500000000.0,2.0,1.0,,72.0,72.0
Cinere,151,940000000.0,3.0,2.0,,93.0,60.0
Sawangan,151,1000000000.0,2.0,1.0,,94.0,72.0
Sawangan,151,890000000.0,2.0,1.0,,71.0,45.0
Cinere,152,2230000000.0,3.0,2.0,,112.0,120.0
Citayam,152,310000000.0,2.0,1.0,,135.0,50.0
